EDARADD,ENSG00000186197
HMGCL,ENSG00000117305
IVNS1ABP,ENSG00000116679
KIF2C,ENSG00000142945
LUZP1,ENSG00000169641
OPN3,ENSG00000054277
SEMA4A,ENSG00000196189
TMEM79,ENSG00000163472
CPSF3,ENSG00000119203
KCNS3,ENSG00000170745
LOC151162,ENSG00000152127
NCK2,ENSG00000071051
OTOF,ENSG00000115155
PLCL1,ENSG00000115896
RALB,ENSG00000144118
REV1,ENSG00000135945
AMT,ENSG00000145020
CADPS,ENSG00000163618
CHDH,ENSG00000016391
PODXL2,ENSG00000114631
TOPBP1,ENSG00000163781
CASP3,ENSG00000164305
EXOSC9,ENSG00000123737
AP3B1,ENSG00000132842
CANX,ENSG00000127022
FEM1C,ENSG00000145780
FER,ENSG00000151422
ISOC1,ENSG00000066583
NDUFAF2,ENSG00000164182
GUCA1B,ENSG00000112599
RPS6KA2,ENSG00000071242
SERAC1,ENSG00000122335
TREML4,ENSG00000188056
ADAP1,ENSG00000105963
EXOC4,ENSG00000131558
HIBADH,ENSG00000106049
LAMB1,ENSG00000091136
MCM7,ENSG00000166508
TSPAN13,ENSG00000106537
ZNF212,ENSG00000170260
TRIL,ENSG00000176734
RAB2A,ENSG00000104388
IL11RA,ENSG00000137070
KIAA0649,ENSG00000196422
NANS,ENSG00000095380
NINJ1,ENSG00000131669
C10orf61,ENSG00000119977
ENTPD1,ENSG00000138185
EXOSC1,ENSG00000171311
IFIT3,ENSG00000119917
NPM3,ENSG00000107833
SEPHS1,ENSG00000086475
C11orf75,ENSG00000166002
EI24,ENSG00000149547
MS4A12,ENSG00000071203
NUP98,ENSG00000110713
TAGLN,ENSG00000149591
ATP6V0A2,ENSG00000185344
CACNB3,ENSG00000167535
DENND5B,ENSG00000170456
FOXJ2,ENSG00000065970
SMUG1,ENSG00000123415
C12orf32,ENSG00000171792
BEGAIN,ENSG00000183092
GLCE,ENSG00000138604
GREM1,ENSG00000166923
APOB48R,ENSG00000184730
CLN3,ENSG00000188603
FAM18A,ENSG00000166676
HAS3,ENSG00000103044
LONP2,ENSG00000102910
MPHOSPH6,ENSG00000135698
NOXO1,ENSG00000196408
SYNGR3,ENSG00000127561
UBE2I,ENSG00000103275
ZNF213,ENSG00000085644
MGC3020,ENSG00000131797
C17orf70,ENSG00000185504
COX10,ENSG00000006695
FLCN,ENSG00000154803
MPP3,ENSG00000161647
PLD2,ENSG00000129219
PMP22,ENSG00000109099
RNF167,ENSG00000108523
STRA13,ENSG00000169689
TMEM97,ENSG00000109084
VMO1,ENSG00000182853
TNFRSF11A,ENSG00000141655
WDR7,ENSG00000091157
PLD3,ENSG00000105223
RPL28,ENSG00000108107
UNC13A,ENSG00000130477
ZNF614,ENSG00000142556
CLIC6,ENSG00000159212
PRMT2,ENSG00000160310
RCAN1,ENSG00000159200
ACOT11,ENSG00000162390
ACP6,ENSG00000162836
ATP2B4,ENSG00000058668
B3GALT6,ENSG00000176022
C1orf93,ENSG00000157870
CTH,ENSG00000116761
DEGS1,ENSG00000143753
FCGR2B,ENSG00000072694
IL23R,ENSG00000162594
IL6R,ENSG00000160712
INPP5B,ENSG00000204084
LEPROT,ENSG00000213625
OSCP1,ENSG00000116885
PIK3CD,ENSG00000171608
PSRC1,ENSG00000134222
PTGER3,ENSG00000050628
RGS18,ENSG00000150681
TRIM63,ENSG00000158022
ASB1,ENSG00000065802
CXCR1,ENSG00000163464
FAM98A,ENSG00000119812
HES6,ENSG00000144485
ITGA6,ENSG00000091409
PROC,ENSG00000115718
STAMBP,ENSG00000124356
HPS3,ENSG00000163755
MAP6D1,ENSG00000180834
NCKIPSD,ENSG00000213672
NT5DC2,ENSG00000168268
PSMD2,ENSG00000175166
UBE2E1,ENSG00000170142
XYLB,ENSG00000093217
ADH5,ENSG00000197894
FBXL5,ENSG00000118564
TMEM144,ENSG00000164124
PPP2R2B,ENSG00000156475
SLC38A9,ENSG00000177058
ZFYVE16,ENSG00000039319
FLOT1,ENSG00000137312
HIST1H4E,ENSG00000198518
SH3BGRL2,ENSG00000198478
BAIAP2L1,ENSG00000006453
GIMAP7,ENSG00000179144
GNA12,ENSG00000146535
GPR146,ENSG00000164849
NRCAM,ENSG00000091129
PHTF2,ENSG00000006576
WBSCR27,ENSG00000165171
BMP1,ENSG00000168487
CNOT7,ENSG00000198791
C9orf140,ENSG00000186193
TMEM38B,ENSG00000095209
TOR2A,ENSG00000160404
CALHM2,ENSG00000138172
KIAA1598,ENSG00000187164
BBS1,ENSG00000174483
BEST1,ENSG00000167995
ETS1,ENSG00000134954
FAM118B,ENSG00000197798
MAP3K11,ENSG00000173327
P2RY6,ENSG00000171631
ALKBH2,ENSG00000189046
CLECL1,ENSG00000184293
CMAS,ENSG00000111726
FAIM2,ENSG00000135472
PRIM1,ENSG00000198056
RILPL2,ENSG00000150977
SLC4A8,ENSG00000050438
PLEKHG3,ENSG00000126822
AP4E1,ENSG00000081014
C15orf39,ENSG00000167173
GOLGA8B,ENSG00000215252
PARP16,ENSG00000138617
ZFYVE19,ENSG00000166140
ATP2C2,ENSG00000064270
BEAN,ENSG00000166546
MVP,ENSG00000013364
MYH11,ENSG00000133392
POLR2C,ENSG00000102978
RRN3,ENSG00000085721
LOC728070,ENSG00000185905
CDK5RAP3,ENSG00000108465
DHX58,ENSG00000108771
KPNA2,ENSG00000182481
MYO19,ENSG00000141140
OSBPL7,ENSG00000006025
PRPSAP2,ENSG00000141127
SLC16A13,ENSG00000174327
ATP9B,ENSG00000166377
CIDEA,ENSG00000176194
MYOM1,ENSG00000101605
TTC39C,ENSG00000168234
ANKRD24,ENSG00000089847
CHAF1A,ENSG00000167670
CYP4F2,ENSG00000186115
PRAM1,ENSG00000133246
EMR4,ENSG00000186629
NRSN2,ENSG00000125841
RRBP1,ENSG00000125844
SIRPD,ENSG00000125900
IL17RA,ENSG00000177663
MAPK1,ENSG00000100030